Month,Seasons,RB_Rate_kg,RB_Rate_qtls,Type,Type_Code,Maturity_mo,Yield_qtls_acer,Sales_acer,Cost_Culti_acre,Profit,Comments
October,Autumn,21,2100,Cabbage,6,2,160,336000,21000,315000,
November,Autumn,32,3200,Cabbage,6,2,160,512000,21000,491000,
December,Winter,30,3000,Cabbage,6,2,160,480000,21000,459000,
January,Winter,14,1400,Carrot,7,3,120,168000,90000,78000,
February,Winter,23,2300,Carrot,7,3,120,276000,90000,186000,
March,Winter,28,2800,Carrot,7,3,120,336000,90000,246000,
April,Summer,33,3300,Carrot,7,3,120,396000,90000,306000,
May,Summer,48,4800,Carrot,7,3,120,576000,90000,486000,
June,Summer,63,6300,Carrot,7,3,120,756000,90000,666000,
July,Rainy,54,5400,Carrot,7,3,120,648000,90000,558000,
August,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,
September,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,
October,Autumn,43,4300,Carrot,7,3,120,516000,90000,426000,
November,Autumn,63,6300,Carrot,7,3,120,756000,90000,666000,
December,Winter,53,5300,Carrot,7,3,120,636000,90000,546000,
January,Winter,17,1700,Cauliflower,8,2,100,170000,21000,149000,
February,Winter,14,1400,Cauliflower,8,2,100,140000,21000,119000,
March,Winter,0,0,Cauliflower,8,2,100,0,21000,-21000,
April,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,
May,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,
June,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,
July,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,
August,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,
September,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,
October,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,
November,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,
December,Winter,23,2300,Cauliflower,8,2,100,230000,21000,209000,
January,Winter,24,2400,Cluster Beans,9,3,20,48000,20000,28000,
February,Winter,33,3300,Cluster Beans,9,3,20,66000,20000,46000,
March,Winter,20,2000,Cluster Beans,9,3,20,40000,20000,20000,
April,Summer,19,1900,Cluster Beans,9,3,20,38000,20000,18000,
May,Summer,18,1800,Cluster Beans,9,3,20,36000,20000,16000,
June,Summer,0,0,Cluster Beans,9,3,20,0,20000,-20000,
July,Rainy,32,3200,Cluster Beans,9,3,20,64000,20000,44000,
August,Rainy,0,0,Cluster Beans,9,3,20,0,20000,-20000,
September,Rainy,21,2100,Cluster Beans,9,3,20,42000,20000,22000,
October,Autumn,21,2100,Cluster Beans,9,3,20,42000,20000,22000,
November,Autumn,22,2200,Cluster Beans,9,3,20,44000,20000,24000,
December,Winter,21,2100,Cluster Beans,9,3,20,42000,20000,22000,
January,Winter,21,2100,Colocasia,10,9,25,52500,20000,32500,
February,Winter,24,2400,Colocasia,10,9,25,60000,20000,40000,
March,Winter,21,2100,Colocasia,10,9,25,52500,20000,32500,
April,Summer,21,2100,Colocasia,10,9,25,52500,20000,32500,
May,Summer,21,2100,Colocasia,10,9,25,52500,20000,32500,
June,Summer,30,3000,Colocasia,10,9,25,75000,20000,55000,
July,Rainy,0,0,Colocasia,10,9,25,0,20000,-20000,
August,Rainy,0,0,Colocasia,10,9,25,0,20000,-20000,
September,Rainy,0,0,Colocasia,10,9,25,0,20000,-20000,
October,Autumn,4,400,Colocasia,10,9,25,10000,20000,-10000,
November,Autumn,21,2100,Colocasia,10,9,25,52500,20000,32500,
December,Winter,0,0,Colocasia,10,9,25,0,20000,-20000,
January,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,
February,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,
March,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,
April,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,
May,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,
June,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,
July,Rainy,0,0,Cucumber,11,2,65,0,10000,-10000,
August,Rainy,0,0,Cucumber,11,2,65,0,10000,-10000,
September,Rainy,4,400,Cucumber,11,2,65,26000,10000,16000,
October,Autumn,6,600,Cucumber,11,2,65,39000,10000,29000,
November,Autumn,0,0,Cucumber,11,2,65,0,10000,-10000,
December,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,
January,Winter,17,1700,Donda,12,3,60,102000,20000,82000,
February,Winter,16,1600,Donda,12,3,60,96000,20000,76000,
March,Winter,16,1600,Donda,12,3,60,96000,20000,76000,
April,Summer,13,1300,Donda,12,3,60,78000,20000,58000,
May,Summer,16,1600,Donda,12,3,60,96000,20000,76000,
June,Summer,21,2100,Donda,12,3,60,126000,20000,106000,
July,Rainy,21,2100,Donda,12,3,60,126000,20000,106000,
August,Rainy,16,1600,Donda,12,3,60,96000,20000,76000,
September,Rainy,15,1500,Donda,12,3,60,90000,20000,70000,
October,Autumn,25,2500,Donda,12,3,60,150000,20000,130000,
November,Autumn,21,2100,Donda,12,3,60,126000,20000,106000,
December,Winter,21,2100,Donda,12,3,60,126000,20000,106000,
January,Winter,28,2800,French Beans,13,2,50,140000,25000,115000,
February,Winter,43,4300,French Beans,13,2,50,215000,25000,190000,
March,Winter,33,3300,French Beans,13,2,50,165000,25000,140000,
April,Summer,48,4800,French Beans,13,2,50,240000,25000,215000,
May,Summer,0,0,French Beans,13,2,50,0,25000,-25000,
June,Summer,63,6300,French Beans,13,2,50,315000,25000,290000,
July,Rainy,34,3400,French Beans,13,2,50,170000,25000,145000,
August,Rainy,43,4300,French Beans,13,2,50,215000,25000,190000,
September,Rainy,32,3200,French Beans,13,2,50,160000,25000,135000,
October,Autumn,54,5400,French Beans,13,2,50,270000,25000,245000,
November,Autumn,43,4300,French Beans,13,2,50,215000,25000,190000,
December,Winter,43,4300,French Beans,13,2,50,215000,25000,190000,
January,Winter,17,1700,Green Chillies,14,2,20,34000,16000,18000,
February,Winter,14,1400,Green Chillies,14,2,20,28000,16000,12000,
March,Winter,10,1000,Green Chillies,14,2,20,20000,16000,4000,
April,Summer,15,1500,Green Chillies,14,2,20,30000,16000,14000,
May,Summer,54,5400,Green Chillies,14,2,20,108000,16000,92000,
June,Summer,54,5400,Green Chillies,14,2,20,108000,16000,92000,
July,Rainy,43,4300,Green Chillies,14,2,20,86000,16000,70000,
August,Rainy,21,2100,Green Chillies,14,2,20,42000,16000,26000,
September,Rainy,21,2100,Green Chillies,14,2,20,42000,16000,26000,
October,Autumn,21,2100,Green Chillies,14,2,20,42000,16000,26000,
November,Autumn,28,2800,Green Chillies,14,2,20,56000,16000,40000,
December,Winter,28,2800,Green Chillies,14,2,20,56000,16000,40000,
January,Winter,3,300,Leafy Vegetables,15,2,120,36000,10000,26000,
February,Winter,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,
March,Winter,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,
April,Summer,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,
May,Summer,3,300,Leafy Vegetables,15,2,120,36000,10000,26000,
June,Summer,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,
July,Rainy,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,
August,Rainy,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,
September,Rainy,5,500,Leafy Vegetables,15,2,120,60000,10000,50000,
October,Autumn,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,
November,Autumn,5,500,Leafy Vegetables,15,2,120,60000,10000,50000,
December,Winter,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,
January,Winter,15,1500,Onions,16,3,140,210000,40000,170000,
February,Winter,15,1500,Onions,16,3,140,210000,40000,170000,
March,Winter,15,1500,Onions,16,3,140,210000,40000,170000,
April,Summer,15,1500,Onions,16,3,140,210000,40000,170000,
May,Summer,15,1500,Onions,16,3,140,210000,40000,170000,
June,Summer,15,1500,Onions,16,3,140,210000,40000,170000,
July,Rainy,15,1500,Onions,16,3,140,210000,40000,170000,
August,Rainy,22,2200,Onions,16,3,140,308000,40000,268000,
September,Rainy,18,1800,Onions,16,3,140,252000,40000,212000,
October,Autumn,21,2100,Onions,16,3,140,294000,40000,254000,
November,Autumn,32,3200,Onions,16,3,140,448000,40000,408000,
December,Winter,38,3800,Onions,16,3,140,532000,40000,492000,
January,Winter,18,1800,Potato,17,3,100,180000,80000,100000,
February,Winter,20,2000,Potato,17,3,100,200000,80000,120000,
March,Winter,18,1800,Potato,17,3,100,180000,80000,100000,
April,Summer,18,1800,Potato,17,3,100,180000,80000,100000,
May,Summer,18,1800,Potato,17,3,100,180000,80000,100000,
June,Summer,18,1800,Potato,17,3,100,180000,80000,100000,
July,Rainy,18,1800,Potato,17,3,100,180000,80000,100000,
August,Rainy,20,2000,Potato,17,3,100,200000,80000,120000,
September,Rainy,21,2100,Potato,17,3,100,210000,80000,130000,
October,Autumn,21,2100,Potato,17,3,100,210000,80000,130000,
November,Autumn,18,1800,Potato,17,3,100,180000,80000,100000,
December,Winter,18,1800,Potato,17,3,100,180000,80000,100000,
January,Winter,22,2200,Ribbed Gourd,18,2,40,88000,17000,71000,
February,Winter,28,2800,Ribbed Gourd,18,2,40,112000,17000,95000,
March,Winter,21,2100,Ribbed Gourd,18,2,40,84000,17000,67000,
April,Summer,20,2000,Ribbed Gourd,18,2,40,80000,17000,63000,
May,Summer,25,2500,Ribbed Gourd,18,2,40,100000,17000,83000,
June,Summer,32,3200,Ribbed Gourd,18,2,40,128000,17000,111000,
July,Rainy,34,3400,Ribbed Gourd,18,2,40,136000,17000,119000,
August,Rainy,25,2500,Ribbed Gourd,18,2,40,100000,17000,83000,
September,Rainy,21,2100,Ribbed Gourd,18,2,40,84000,17000,67000,
October,Autumn,30,3000,Ribbed Gourd,18,2,40,120000,17000,103000,
November,Autumn,38,3800,Ribbed Gourd,18,2,40,152000,17000,135000,
December,Winter,34,3400,Ribbed Gourd,18,2,40,136000,17000,119000,
January,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,
February,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,
March,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,
April,Summer,0,0,Snake Gourd,19,2,70,0,30000,-30000,
May,Summer,0,0,Snake Gourd,19,2,70,0,30000,-30000,
June,Summer,13,1300,Snake Gourd,19,2,70,91000,30000,61000,
July,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,
August,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,
September,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,
October,Autumn,0,0,Snake Gourd,19,2,70,0,30000,-30000,
November,Autumn,0,0,Snake Gourd,19,2,70,0,30000,-30000,
December,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,
January,Winter,7,700,Tomato,20,2,130,91000,30000,61000,
February,Winter,23,2300,Tomato,20,2,130,299000,30000,269000,
March,Winter,18,1800,Tomato,20,2,130,234000,30000,204000,
April,Summer,8,800,Tomato,20,2,130,104000,30000,74000,
May,Summer,10,1000,Tomato,20,2,130,130000,30000,100000,
June,Summer,21,2100,Tomato,20,2,130,273000,30000,243000,
July,Rainy,50,5000,Tomato,20,2,130,650000,30000,620000,
August,Rainy,38,3800,Tomato,20,2,130,494000,30000,464000,
September,Rainy,22,2200,Tomato,20,2,130,286000,30000,256000,
October,Autumn,33,3300,Tomato,20,2,130,429000,30000,399000,
November,Autumn,38,3800,Tomato,20,2,130,494000,30000,464000,
December,Winter,8,800,Tomato,20,2,130,104000,30000,74000,
